Name,ID,Elevation_ft,Latitude,Longitude,HUC
Kelley R.S.,"554	",8180,42.26554,-110.80177,"140401070501	"
Kelly Station,"1175	",310,67.93333,-162.28333,"190504030802	"
Kenai Moose Pens,"966	",300,60.727,-150.47517,"190203021601	"
Kendall R.S.,"555	",7740,43.2493,-110.01662,"140401010302	"
Kettle Rock,"KTL	",7300,40.14,-120.715,"180201220601	"
Kilfoil Creek,"1145	",7220,41.24764,-111.41249,"160201010603	"
Kiln,"556	",9600,39.31724,-106.61453,"140100040504	"
Kimberly Mine,"557	",9101,38.48383,-112.39273,"160300030104	"
Kinaskan Lake,"4D11P	",3346,57.56667,-130.25,"	"
King Mountain,"558	",4340,42.72395,-123.20037,"171003020701	"
Kings Cabin,"559	",8728,40.71632,-109.54401,"140600100303	"
Kirwin,"560	",9550,43.86067,-109.32163,"100800090101	"
Klondike Narrows,"1115	",7250,41.96769,-111.59713,"160102030302	"
Kolob,"561	",9263,37.52664,-113.05386,"150100080102	"
Kostal Lake,"1E10P	",5774,52.2,-120.01667,"	"
Kraft Creek,"562	",4750,47.42749,-113.77515,"170102110104	"
Kwadacha River,"4A27P	",5561,57.61667,-125.06667,"	"
Lake Creek R.S.,"563	",5240,44.21007,-118.63752,"170501160102	"
Lake Eldora,"564	",9700,39.93678,-105.58956,"101900050402	"
Lake Irene,"565	",10700,40.41432,-105.8198,"140100010302	"
Lake Lois,"LOS	",8600,38.925,-120.197,"180201280201	"
Lakefork #1,"566	",10128,40.59709,-110.43316,"140600030705	"
Lakefork #3,"1116	",8464,40.5502,-110.3529,"140600030705	"
Lakefork Basin,"513	",10885,40.73785,-110.62121,"140600030601	"
Lakeview Ridge,"568	",7400,44.58907,-111.82498,"100200010105	"
Lamance Creek,"569	",6395,41.51542,-117.63197,"160401090603	"
Lamoille #3,"570	",8051,40.6448,-115.3812,"160401010607	"
Laprele Creek,"571	",8375,42.43583,-105.86083,"101800071201	"
Larsen Creek,"1134	",9000,42.5801,-109.0883,"101800060101	"
Lasal Mountain,"572	",9578,38.48226,-109.27198,"140300050404	"
Lasal Mountain-Lower,"1215	",8783,38.48167,-109.29164,"140300050404	"
